Building,Room,Make & Model,IP address
3 Portland Villas,Room 105,Canon iRA4225,10.196.30.4
4 Portland Villas,1st floor,Canon iRA4225,10.196.30.5
6 Portland Villas,Arts room,Canon iRA C2230,10.196.30.128
7 Portland Villas,Floor 1,Canon iRA4225,10.196.30.14
8 Portland Villas,Floor 0 (cellar),Canon iRA4225,10.197.30.13
10 Portland Villas,Floor 0 (cellar),Canon iRA C5235,10.197.30.15
16 Portland Villas,1st floor,Canon iRA C2230,10.196.30.12
17 Portland Villas,Floor 0,Canon iRA4225,10.197.30.128
17 Portland Villas,Floor 1,Canon iRA4235,10.197.30.128
17 Portland Villas,Floor 1,Canon iRA C2230,10.197.30.126
